 viout#branch    i(Viout)       
-2.15365503e-11 -2.15365503e-11 
-1.85263360e-09 -1.85263360e-09 
-3.74323861e-09 -3.74323861e-09 
-5.62539526e-09 -5.62539526e-09 
-7.56728014e-09 -7.56728014e-09 
-9.46067047e-09 -9.46067047e-09 
-1.13732241e-08 -1.13732241e-08 
-1.32683553e-08 -1.32683553e-08 
-1.52873980e-08 -1.52873980e-08 
-1.71849521e-08 -1.71849521e-08 
-1.91093790e-08 -1.91093790e-08 
-2.10159143e-08 -2.10159143e-08 
-2.29609753e-08 -2.29609753e-08 
-2.48548915e-08 -2.48548915e-08 
-2.67792188e-08 -2.67792188e-08 
-2.86773272e-08 -2.86773272e-08 
-3.08341441e-08 -3.08341441e-08 
-3.27305187e-08 -3.27305187e-08 
-3.46556703e-08 -3.46556703e-08 
-3.65613673e-08 -3.65613673e-08 
-3.85223302e-08 -3.85223302e-08 
-4.04307912e-08 -4.04307912e-08 
-4.23556727e-08 -4.23556727e-08 
-4.42444090e-08 -4.42444090e-08 
-4.62578313e-08 -4.62578313e-08 
-4.81496585e-08 -4.81496585e-08 
-5.00639317e-08 -5.00639317e-08 
-5.19701402e-08 -5.19701402e-08 
-5.39250706e-08 -5.39250706e-08 
-5.58234063e-08 -5.58234063e-08 
-5.77367558e-08 -5.77367558e-08 
-5.96247318e-08 -5.96247318e-08 
-6.20543688e-08 -6.20543688e-08 
-6.39408526e-08 -6.39408526e-08 
-6.58648318e-08 -6.58648318e-08 
-6.77737475e-08 -6.77737475e-08 
-6.97229936e-08 -6.97229936e-08 
-7.16217414e-08 -7.16217414e-08 
-7.35467083e-08 -7.35467083e-08 
-7.54474669e-08 -7.54474669e-08 
-7.74728051e-08 -7.74728051e-08 
-7.93784736e-08 -7.93784736e-08 
-8.13018772e-08 -8.13018772e-08 
-8.32102955e-08 -8.32102955e-08 
-8.51575663e-08 -8.51575663e-08 
-8.70418262e-08 -8.70418262e-08 
-8.89449367e-08 -8.89449367e-08 
-9.08231641e-08 -9.08231641e-08 
-9.29719519e-08 -9.29719519e-08 
-9.48495966e-08 -9.48495966e-08 
-9.67666196e-08 -9.67666196e-08 
-9.86592568e-08 -9.86592568e-08 
-1.00600062e-07 -1.00600062e-07 
-1.02498333e-07 -1.02498333e-07 
-1.04421062e-07 -1.04421062e-07 
-1.06310971e-07 -1.06310971e-07 
-1.08332493e-07 -1.08332493e-07 
-1.10227369e-07 -1.10227369e-07 
-1.12137677e-07 -1.12137677e-07 
-1.14029852e-07 -1.14029852e-07 
-1.15967985e-07 -1.15967985e-07 
-1.17851890e-07 -1.17851890e-07 
-1.19751512e-07 -1.19751512e-07 
-1.21624510e-07 -1.21624510e-07 
-1.24608384e-07 -1.24608384e-07 
-1.26482995e-07 -1.26482995e-07 
-1.28392877e-07 -1.28392877e-07 
-1.30287219e-07 -1.30287219e-07 
-1.32243699e-07 -1.32243699e-07 
-1.34148877e-07 -1.34148877e-07 
-1.36069154e-07 -1.36069154e-07 
-1.37960214e-07 -1.37960214e-07 
-1.39967192e-07 -1.39967192e-07 
-1.41856951e-07 -1.41856951e-07 
-1.43773534e-07 -1.43773534e-07 
-1.45679387e-07 -1.45679387e-07 
-1.47626281e-07 -1.47626281e-07 
-1.49516488e-07 -1.49516488e-07 
-1.51435437e-07 -1.51435437e-07 
-1.53330568e-07 -1.53330568e-07 
-1.55484848e-07 -1.55484848e-07 
-1.57378075e-07 -1.57378075e-07 
-1.59305834e-07 -1.59305834e-07 
-1.61203239e-07 -1.61203239e-07 
-1.63155526e-07 -1.63155526e-07 
-1.65058928e-07 -1.65058928e-07 
-1.66980257e-07 -1.66980257e-07 
-1.68865107e-07 -1.68865107e-07 
-1.70876092e-07 -1.70876092e-07 
-1.72758959e-07 -1.72758959e-07 
-1.74653046e-07 -1.74653046e-07 
-1.76533256e-07 -1.76533256e-07 
-1.78463139e-07 -1.78463139e-07 
-1.80338304e-07 -1.80338304e-07 
-1.82227346e-07 -1.82227346e-07 
-1.84087241e-07 -1.84087241e-07 
-1.86522804e-07 -1.86522804e-07 
-1.88391311e-07 -1.88391311e-07 
-1.90290621e-07 -1.90290621e-07 
-1.92184949e-07 -1.92184949e-07 
-1.94129534e-07 -1.94129534e-07 
-1.96019457e-07 -1.96019457e-07 
-1.97923370e-07 -1.97923370e-07 
-1.99799274e-07 -1.99799274e-07 
-2.01808461e-07 -2.01808461e-07 
-2.03701902e-07 -2.03701902e-07 
-2.05615827e-07 -2.05615827e-07 
-2.07519449e-07 -2.07519449e-07 
-2.09466350e-07 -2.09466350e-07 
-2.11354710e-07 -2.11354710e-07 
-2.13256747e-07 -2.13256747e-07 
-2.15136076e-07 -2.15136076e-07 
-2.17301988e-07 -2.17301988e-07 
-2.19185630e-07 -2.19185630e-07 
-2.21104294e-07 -2.21104294e-07 
-2.22998779e-07 -2.22998779e-07 
-2.24931647e-07 -2.24931647e-07 
-2.26817484e-07 -2.26817484e-07 
-2.28727110e-07 -2.28727110e-07 
-2.30603796e-07 -2.30603796e-07 
-2.32608009e-07 -2.32608009e-07 
-2.34489839e-07 -2.34489839e-07 
-2.36388360e-07 -2.36388360e-07 
-2.38268704e-07 -2.38268704e-07 
-2.40196925e-07 -2.40196925e-07 
-2.42070200e-07 -2.42070200e-07 
-2.43954041e-07 -2.43954041e-07 
-2.45811172e-07 -2.45811172e-07 
