 net1            i(Viout)       
 5.74220718e-01  1.60866875e-11 
 5.74220737e-01  1.80189375e-09 
 5.74220734e-01  3.61782782e-09 
 5.74220738e-01  5.44935119e-09 
 5.74220727e-01  7.27617078e-09 
 5.74220744e-01  9.11886389e-09 
 5.74220736e-01  1.09528600e-08 
 5.74220756e-01  1.27946151e-08 
 5.74220734e-01  1.46269201e-08 
 5.74220753e-01  1.64743881e-08 
 5.74220739e-01  1.83195965e-08 
 5.74220761e-01  2.01715125e-08 
 5.74220740e-01  2.19991847e-08 
 5.74220765e-01  2.38403288e-08 
 5.74220765e-01  2.56837751e-08 
 5.74220775e-01  2.75266245e-08 
 5.74220740e-01  2.93589011e-08 
 5.74220749e-01  3.12069091e-08 
 5.74220739e-01  3.30531833e-08 
 5.74220760e-01  3.49045308e-08 
 5.74220728e-01  3.67471813e-08 
 5.74220769e-01  3.86016694e-08 
 5.74220756e-01  4.04448457e-08 
 5.74220771e-01  4.22776480e-08 
 5.74220749e-01  4.41044534e-08 
 5.74220767e-01  4.59445886e-08 
 5.74220771e-01  4.77786699e-08 
 5.74220770e-01  4.96287242e-08 
 5.74220760e-01  5.14642693e-08 
 5.74220766e-01  5.33084403e-08 
 5.74220767e-01  5.51396937e-08 
 5.74220773e-01  5.69714587e-08 
 5.74220729e-01  5.88045737e-08 
 5.74220750e-01  6.06448651e-08 
 5.74220740e-01  6.24916083e-08 
 5.74220758e-01  6.43471623e-08 
 5.74220739e-01  6.61793820e-08 
 5.74220760e-01  6.80249030e-08 
 5.74220743e-01  6.98685909e-08 
 5.74220765e-01  7.17133872e-08 
 5.74220742e-01  7.35512060e-08 
 5.74220768e-01  7.54041452e-08 
 5.74220772e-01  7.72463409e-08 
 5.74220766e-01  7.90979726e-08 
 5.74220735e-01  8.09260428e-08 
 5.74220771e-01  8.27556477e-08 
 5.74220775e-01  8.45764987e-08 
 5.74220794e-01  8.63981455e-08 
 5.74220739e-01  8.82267130e-08 
 5.74220775e-01  9.00549537e-08 
 5.74220764e-01  9.18927441e-08 
 5.74220759e-01  9.37299944e-08 
 5.74220759e-01  9.55528776e-08 
 5.74220783e-01  9.73965228e-08 
 5.74220773e-01  9.92364448e-08 
 5.74220778e-01  1.01070057e-07 
 5.74220764e-01  1.02902689e-07 
 5.74220771e-01  1.04745141e-07 
 5.74220762e-01  1.06574404e-07 
 5.74220776e-01  1.08410305e-07 
 5.74220779e-01  1.10228299e-07 
 5.74220788e-01  1.12057862e-07 
 5.74220782e-01  1.13875259e-07 
 5.74220805e-01  1.15690852e-07 
 5.74220735e-01  1.17535734e-07 
 5.74220751e-01  1.19367499e-07 
 5.74220745e-01  1.21202930e-07 
 5.74220757e-01  1.23046036e-07 
 5.74220747e-01  1.24887222e-07 
 5.74220761e-01  1.26740716e-07 
 5.74220743e-01  1.28580936e-07 
 5.74220771e-01  1.30417888e-07 
 5.74220739e-01  1.32239521e-07 
 5.74220772e-01  1.34077538e-07 
 5.74220774e-01  1.35914277e-07 
 5.74220776e-01  1.37763863e-07 
 5.74220772e-01  1.39592814e-07 
 5.74220785e-01  1.41428600e-07 
 5.74220779e-01  1.43265396e-07 
 5.74220794e-01  1.45104096e-07 
 5.74220746e-01  1.46936046e-07 
 5.74220759e-01  1.48779307e-07 
 5.74220757e-01  1.50626974e-07 
 5.74220774e-01  1.52469383e-07 
 5.74220761e-01  1.54302867e-07 
 5.74220768e-01  1.56150804e-07 
 5.74220770e-01  1.57989504e-07 
 5.74220807e-01  1.59818327e-07 
 5.74220766e-01  1.61641154e-07 
 5.74220774e-01  1.63470972e-07 
 5.74220766e-01  1.65284504e-07 
 5.74220800e-01  1.67108894e-07 
 5.74220770e-01  1.68918575e-07 
 5.74220795e-01  1.70739838e-07 
 5.74220784e-01  1.72546521e-07 
 5.74220818e-01  1.74349381e-07 
 5.74220739e-01  1.76200103e-07 
 5.74220758e-01  1.78021779e-07 
 5.74220754e-01  1.79843809e-07 
 5.74220782e-01  1.81684641e-07 
 5.74220771e-01  1.83512270e-07 
 5.74220764e-01  1.85348782e-07 
 5.74220758e-01  1.87171651e-07 
 5.74220782e-01  1.88992828e-07 
 5.74220761e-01  1.90814134e-07 
 5.74220770e-01  1.92654781e-07 
 5.74220766e-01  1.94487299e-07 
 5.74220804e-01  1.96334696e-07 
 5.74220788e-01  1.98161217e-07 
 5.74220797e-01  1.99994886e-07 
 5.74220791e-01  2.01814615e-07 
 5.74220795e-01  2.03636475e-07 
 5.74220749e-01  2.05478415e-07 
 5.74220774e-01  2.07312766e-07 
 5.74220779e-01  2.09151295e-07 
 5.74220793e-01  2.10992170e-07 
 5.74220763e-01  2.12804920e-07 
 5.74220806e-01  2.14637126e-07 
 5.74220793e-01  2.16463889e-07 
 5.74220818e-01  2.18283390e-07 
 5.74220746e-01  2.20098983e-07 
 5.74220801e-01  2.21928417e-07 
 5.74220781e-01  2.23746156e-07 
 5.74220809e-01  2.25568840e-07 
 5.74220769e-01  2.27377171e-07 
 5.74220818e-01  2.29196118e-07 
 5.74220813e-01  2.30997401e-07 
 5.74220826e-01  2.32796594e-07 
