 vdd             i(Viout)       
 1.80000000e+00  1.57314162e-11 
 1.80000000e+00  2.79486301e-09 
 1.80000000e+00  5.65788127e-09 
 1.80000000e+00  8.51107984e-09 
 1.80000000e+00  1.14427507e-08 
 1.80000000e+00  1.43144518e-08 
 1.80000000e+00  1.72048260e-08 
 1.80000000e+00  2.00652437e-08 
 1.80000000e+00  2.31050450e-08 
 1.80000000e+00  2.59826720e-08 
 1.80000000e+00  2.88905824e-08 
 1.80000000e+00  3.17697300e-08 
 1.80000000e+00  3.47012588e-08 
 1.80000000e+00  3.75619891e-08 
 1.80000000e+00  4.04574649e-08 
 1.80000000e+00  4.33076508e-08 
 1.80000000e+00  4.65510084e-08 
 1.80000000e+00  4.94251253e-08 
 1.80000000e+00  5.23343431e-08 
 1.80000000e+00  5.52144570e-08 
 1.80000000e+00  5.81675579e-08 
 1.80000000e+00  6.10511108e-08 
 1.80000000e+00  6.39491020e-08 
 1.80000000e+00  6.67883739e-08 
 1.80000000e+00  6.98198903e-08 
 1.80000000e+00  7.26783043e-08 
 1.80000000e+00  7.55602798e-08 
 1.80000000e+00  7.84252023e-08 
 1.80000000e+00  8.13606107e-08 
 1.80000000e+00  8.42141077e-08 
 1.80000000e+00  8.70807639e-08 
 1.80000000e+00  8.99021586e-08 
 1.80000000e+00  9.35639974e-08 
 1.80000000e+00  9.64210187e-08 
 1.80000000e+00  9.93289717e-08 
 1.80000000e+00  1.02215793e-07 
 1.80000000e+00  1.05153816e-07 
 1.80000000e+00  1.08026995e-07 
 1.80000000e+00  1.10928170e-07 
 1.80000000e+00  1.13788587e-07 
 1.80000000e+00  1.16835039e-07 
 1.80000000e+00  1.19716560e-07 
 1.80000000e+00  1.22614637e-07 
 1.80000000e+00  1.25487077e-07 
 1.80000000e+00  1.28414626e-07 
 1.80000000e+00  1.31251994e-07 
 1.80000000e+00  1.34108049e-07 
 1.80000000e+00  1.36919553e-07 
 1.80000000e+00  1.40166861e-07 
 1.80000000e+00  1.43006801e-07 
 1.80000000e+00  1.45896280e-07 
 1.80000000e+00  1.48747660e-07 
 1.80000000e+00  1.51664750e-07 
 1.80000000e+00  1.54523718e-07 
 1.80000000e+00  1.57408820e-07 
 1.80000000e+00  1.60239964e-07 
 1.80000000e+00  1.63279068e-07 
 1.80000000e+00  1.66133077e-07 
 1.80000000e+00  1.68998895e-07 
 1.80000000e+00  1.71833790e-07 
 1.80000000e+00  1.74736996e-07 
 1.80000000e+00  1.77559230e-07 
 1.80000000e+00  1.80397123e-07 
 1.80000000e+00  1.83186444e-07 
 1.80000000e+00  1.87715372e-07 
 1.80000000e+00  1.90556321e-07 
 1.80000000e+00  1.93447519e-07 
 1.80000000e+00  1.96317572e-07 
 1.80000000e+00  1.99270602e-07 
 1.80000000e+00  2.02159626e-07 
 1.80000000e+00  2.05060516e-07 
 1.80000000e+00  2.07914525e-07 
 1.80000000e+00  2.10939845e-07 
 1.80000000e+00  2.13806018e-07 
 1.80000000e+00  2.16702617e-07 
 1.80000000e+00  2.19579633e-07 
 1.80000000e+00  2.22514458e-07 
 1.80000000e+00  2.25368495e-07 
 1.80000000e+00  2.28255033e-07 
 1.80000000e+00  2.31100302e-07 
 1.80000000e+00  2.34350594e-07 
 1.80000000e+00  2.37220590e-07 
 1.80000000e+00  2.40133403e-07 
 1.80000000e+00  2.43000997e-07 
 1.80000000e+00  2.45941692e-07 
 1.80000000e+00  2.48817145e-07 
 1.80000000e+00  2.51708528e-07 
 1.80000000e+00  2.54541860e-07 
 1.80000000e+00  2.57572523e-07 
 1.80000000e+00  2.60416996e-07 
 1.80000000e+00  2.63269300e-07 
 1.80000000e+00  2.66095199e-07 
 1.80000000e+00  2.68995265e-07 
 1.80000000e+00  2.71814585e-07 
 1.80000000e+00  2.74644762e-07 
 1.80000000e+00  2.77425769e-07 
 1.80000000e+00  2.81145958e-07 
 1.80000000e+00  2.83980981e-07 
 1.80000000e+00  2.86853307e-07 
 1.80000000e+00  2.89719267e-07 
 1.80000000e+00  2.92652075e-07 
 1.80000000e+00  2.95511924e-07 
 1.80000000e+00  2.98382673e-07 
 1.80000000e+00  3.01207834e-07 
 1.80000000e+00  3.04232458e-07 
 1.80000000e+00  3.07095476e-07 
 1.80000000e+00  3.09980507e-07 
 1.80000000e+00  3.12844449e-07 
 1.80000000e+00  3.15771501e-07 
 1.80000000e+00  3.18613274e-07 
 1.80000000e+00  3.21467397e-07 
 1.80000000e+00  3.24280450e-07 
 1.80000000e+00  3.27562233e-07 
 1.80000000e+00  3.30412036e-07 
 1.80000000e+00  3.33302765e-07 
 1.80000000e+00  3.36157584e-07 
 1.80000000e+00  3.39060435e-07 
 1.80000000e+00  3.41902521e-07 
 1.80000000e+00  3.44767059e-07 
 1.80000000e+00  3.47577426e-07 
 1.80000000e+00  3.50594590e-07 
 1.80000000e+00  3.53426316e-07 
 1.80000000e+00  3.56276871e-07 
 1.80000000e+00  3.59092112e-07 
 1.80000000e+00  3.61980113e-07 
 1.80000000e+00  3.64787766e-07 
 1.80000000e+00  3.67600563e-07 
 1.80000000e+00  3.70364788e-07 
